
81,house,B000176,Frank,Aloysius,Barrett,,1892-11-10,WY,R,Yes,1949-01-03,56.1
81,house,J000100,Benton,Franklin,Jensen,,1892-12-16,IA,R,Yes,1949-01-03,56.0
81,house,M000199,Thomas,Ellsworth,Martin,,1893-01-18,IA,R,Yes,1949-01-03,56.0
81,house,B000999,Joseph,Raleigh,Bryson,,1893-01-18,SC,D,Yes,1949-01-03,56.0
81,house,G000102,Leon,Harry,Gavin,,1893-02-25,PA,R,Yes,1949-01-03,55.9
81,house,W000668,Jesse,Paine,Wolcott,,1893-03-03,MI,R,Yes,1949-01-03,55.8
81,house,R000140,Kenneth,Mills,Regan,,1893-03-06,TX,D,Yes,1949-01-03,55.8
81,house,H000284,Edward,Joseph,Hart,,1893-03-25,NJ,D,Yes,1949-01-03,55.8
81,house,K000170,Clarence,Evans,Kilburn,,1893-04-13,NY,R,Yes,1949-01-03,55.7
81,house,S000277,Paul,Werntz,Shafer,,1893-04-27,MI,R,Yes,1949-01-03,55.7
81,house,H000768,Clifford,Ragsdale,Hope,,1893-06-09,KS,R,Yes,1949-01-03,55.6
81,house,B000909,Clarence,J.,Brown,,1893-07-14,OH,R,Yes,1949-01-03,55.5
81,house,C000755,Jere,,Cooper,,1893-07-20,TN,D,Yes,1949-01-03,55.5
81,house,P000103,John,William Wright,Patman,,1893-08-06,TX,D,Yes,1949-01-03,55.4
81,house,L000161,Jay,,Le Fevre,,1893-09-06,NY,R,Yes,1949-01-03,55.3
81,house,K000029,Robert,Winthrop,Kean,,1893-09-28,NJ,R,Yes,1949-01-03,55.3
81,house,S000067,Lansdale,Ghiselin,Sasscer,,1893-09-30,MD,D,Yes,1949-01-03,55.3
81,house,B000237,Joseph,Bengal,Bates,,1893-10-29,KY,D,Yes,1949-01-03,55.2
81,house,G000316,Thomas,Sylvy,Gordon,,1893-12-17,IL,D,Yes,1949-01-03,55.0
81,house,H000689,Richard,William,Hoffman,,1893-12-23,IL,R,No,1949-01-03,55.0
81,house,D000354,John,David,Dingell,,1894-02-02,MI,D,Yes,1949-01-03,54.9
81,house,T000373,James,William,Trimble,,1894-02-03,AR,D,Yes,1949-01-03,54.9
81,house,P000261,James,Hardin,Peterson,,1894-02-11,FL,D,Yes,1949-01-03,54.9
81,house,B001028,James,Vincent,Buckley,,1894-05-15,IL,D,No,1949-01-03,54.6
81,house,W000108,Francis,Eugene,Walter,,1894-05-26,PA,D,Yes,1949-01-03,54.6
81,house,B000271,James,Glenn,Beall,,1894-06-05,MD,R,Yes,1949-01-03,54.6
81,house,L000537,Walter,Aloysius,Lynch,,1894-07-07,NY,D,Yes,1949-01-03,54.5
81,house,S000764,Katharine,Price Collier,St. George,,1894-07-12,NY,R,Yes,1949-01-03,54.5
81,house,H000640,John,Carl Williams,Hinshaw,,1894-07-28,CA,R,Yes,1949-01-03,54.4
81,house,M001114,Thomas,Jefferson,Murray,,1894-08-01,TN,D,Yes,1949-01-03,54.4
81,house,H000442,Erland,Harold,Hedrick,,1894-08-09,WV,D,Yes,1949-01-03,54.4
81,house,D000403,James,Isaac,Dolliver,,1894-08-31,IA,R,Yes,1949-01-03,54.3
81,house,R000214,James,Prioleau,Richards,,1894-08-31,SC,D,Yes,1949-01-03,54.3
81,house,S000437,Sidney,Elmer,Simpson,,1894-09-20,IL,R,Yes,1949-01-03,54.3
81,house,H000182,Cecil,Murray,Harden,,1894-11-21,IN,R,No,1949-01-03,54.1
81,house,M000414,Gordon,Leo,McDonough,,1895-01-02,CA,R,Yes,1949-01-03,54.0
81,house,T000175,John,Parnell,Thomas,,1895-01-16,NJ,R,Yes,1949-01-03,54.0
81,house,O000056,Joseph,Patrick,O'Hara,,1895-01-23,MN,R,Yes,1949-01-03,53.9
81,house,M000724,Edward,Tylor,Miller,,1895-02-01,MD,R,Yes,1949-01-03,53.9
81,house,S000676,Andrew,Lawrence,Somers,,1895-03-21,NY,D,Yes,1949-01-03,53.8
81,house,H000548,Christian,Archibald,Herter,,1895-03-28,MA,R,Yes,1949-01-03,53.8
81,house,H000678,Charles,Bernard,Hoeven,,1895-03-30,IA,R,Yes,1949-01-03,53.8
81,house,B000649,Reva,Zilpha Beck,Bosone,,1895-04-02,UT,D,No,1949-01-03,53.8
81,house,W000264,Philip,James,Welch,,1895-04-04,MO,D,No,1949-01-03,53.7
81,house,D000109,James,Curran,Davis,,1895-05-17,GA,D,Yes,1949-01-03,53.6
81,house,F000255,Aime,Joseph,Forand,,1895-05-23,RI,D,Yes,1949-01-03,53.6
